loss,mae,val_loss,val_mae
243924910080.0,462901.0625,232201666560.0,457240.0
243922731008.0,462898.71875,232198635520.0,457236.8125
243918405632.0,462894.21875,232192524288.0,457230.46875
243909672960.0,462885.4375,232181219328.0,457218.84375
243894337536.0,462869.78125,232162131968.0,457199.40625
243870121984.0,462845.28125,232132395008.0,457169.375
243833634816.0,462808.65625,232090058752.0,457126.6875
243781386240.0,462757.59375,232031846400.0,457068.25
243712507904.0,462688.875,231954038784.0,456990.78125
243621691392.0,462599.53125,231852900352.0,456890.625
243506561024.0,462486.34375,231726645248.0,456765.8125
243362070528.0,462345.4375,231573176320.0,456614.71875
243184730112.0,462174.46875,231387168768.0,456431.4375
242971410432.0,461968.15625,231163674624.0,456213.125
242722701312.0,461729.34375,230899941376.0,455957.0625
242430771200.0,461447.375,230596378624.0,455661.53125
242093555712.0,461123.90625,230252773376.0,455325.78125
241715691520.0,460758.25,229857116160.0,454942.6875
241277255680.0,460345.0625,229432459264.0,454525.71875
240807706624.0,459887.03125,228932255744.0,454041.625
240276373504.0,459375.65625,228386177024.0,453512.09375
239681224704.0,458806.09375,227796418560.0,452937.96875
239029813248.0,458186.25,227155427328.0,452311.9375
238330839040.0,457515.125,226436464640.0,451615.28125
237557989376.0,456774.3125,225681489920.0,450876.09375
236732301312.0,455982.3125,224851935232.0,450066.875
235836702720.0,455117.0625,223947341824.0,449184.5625
234865328128.0,454180.65625,223010127872.0,448261.40625
233844604928.0,453201.84375,221968351232.0,447248.09375
232735473664.0,452126.15625,220881797120.0,446179.1875
231573143552.0,450998.21875,219720335360.0,445036.71875
230355779584.0,449788.9375,218468679680.0,443803.84375
229015961600.0,448512.34375,217206652928.0,442551.5
227652222976.0,447164.5625,215845044224.0,441195.25
226200403968.0,445738.09375,214396289024.0,439759.34375
224677675008.0,444231.78125,212878016512.0,438245.46875
223054774272.0,442649.03125,211323518976.0,436682.4375
221382492160.0,440993.1875,209697521664.0,435041.71875
219670872064.0,439263.375,207944826880.0,433272.0
217821642752.0,437424.9375,206179876864.0,431477.5625
215924867072.0,435531.75,204345425920.0,429600.90625
213980708864.0,433562.8125,202417979392.0,427625.71875
211933462528.0,431506.21875,200450621440.0,425596.46875
209832902656.0,429379.84375,198386384896.0,423460.25
207663415296.0,427141.65625,196252565504.0,421241.5
205412548608.0,424827.75,194020147200.0,418909.0625
203058135040.0,422401.46875,191810535424.0,416569.75
200702509056.0,419939.34375,189492068352.0,414112.0625
198278594560.0,417369.65625,187096121344.0,411553.625
195745038336.0,414730.375,184658460672.0,408934.0625
193161592832.0,411981.65625,182142746624.0,406207.65625
190529568768.0,409153.78125,179616137216.0,403440.8125
187851866112.0,406256.3125,177038901248.0,400600.40625
185116966912.0,403300.6875,174377451520.0,397646.59375
182319136768.0,400227.4375,171667570688.0,394609.78125
179477200896.0,397045.03125,168863956992.0,391448.9375
176558587904.0,393761.9375,166030721024.0,388219.4375
173571194880.0,390432.78125,163218292736.0,384987.09375
170617536512.0,387012.875,160275972096.0,381576.90625
167579910144.0,383544.125,157315235840.0,378113.3125
164467163136.0,379987.78125,154453065728.0,374696.5625
161433321472.0,376384.75,151452024832.0,371097.34375
158328684544.0,372677.84375,148395638784.0,367400.90625
155112112128.0,368848.09375,145350393856.0,363669.46875
151904403456.0,364975.21875,142297464832.0,359868.5
148725710848.0,361021.65625,139189239808.0,355969.21875
145473437696.0,356987.03125,136079147008.0,352008.0
142245199872.0,352869.78125,132920877056.0,347937.84375
138944348160.0,348732.96875,129862967296.0,343930.8125
135702388736.0,344518.875,126757617664.0,339803.8125
132466188288.0,340256.6875,123596578816.0,335546.1875
129191985152.0,335828.6875,120419901440.0,331199.8125
125946470400.0,331396.34375,117211750400.0,326771.25
122653802496.0,326920.25,114100994048.0,322389.09375
119392034816.0,322442.90625,111033516032.0,317980.8125
116167016448.0,317958.6875,107964383232.0,313505.25
113002471424.0,313470.125,104828223488.0,308872.875
109734109184.0,308856.0625,101867249664.0,304397.46875
106664624128.0,304344.1875,98752503808.0,299626.34375
103478943744.0,299751.46875,95782264832.0,294976.5
100357357568.0,295130.8125,92828696576.0,290256.1875
97321623552.0,290458.4375,89913622528.0,285493.03125
94296793088.0,285819.875,87056769024.0,280744.8125
91298611200.0,281121.1875,84249657344.0,275984.6875
88423800832.0,276471.75,81329463296.0,270944.46875
85433909248.0,271708.0625,78675091456.0,266226.875
82670903296.0,267101.125,75945025536.0,261328.765625
79881666560.0,262486.84375,73270059008.0,256493.09375
77161938944.0,257820.796875,70690799616.0,251856.5625
74495459328.0,253192.390625,68176498688.0,247232.203125
71903608832.0,248453.203125,65662513152.0,242489.109375
69345886208.0,243914.640625,63271845888.0,237862.53125
66890469376.0,239320.328125,60933115904.0,233222.0
64532652032.0,234774.390625,58668199936.0,228608.890625
62224146432.0,230313.125,56443412480.0,223949.265625
59923443712.0,225792.234375,54343499776.0,219434.9375
57755742208.0,221420.203125,52232589312.0,214773.140625
55620284416.0,216966.53125,50209959936.0,210169.265625
53561405440.0,212590.046875,48267857920.0,205621.0625
51593498624.0,208310.75,46379024384.0,201062.765625
